Latitude,Longitude,GMT,Wind Speed at Hub Height,Air Density at Hub Height,Power Generation
52.0,4.7,2008-04-01 00:00:00,6.685151594060293,1.2560715050504556,733
52.0,4.7,2008-04-01 01:00:00,7.070882093427642,1.2585313433828988,926
52.0,4.7,2008-04-01 02:00:00,7.503041563871607,1.2610150373914628,1150
52.0,4.7,2008-04-01 03:00:00,7.960063347465741,1.262853360173478,1433
52.0,4.7,2008-04-01 04:00:00,8.657299058709862,1.2642714232247705,1722
52.0,4.7,2008-04-01 05:00:00,9.477551683497468,1.2646533264458562,2362
52.0,4.7,2008-04-01 06:00:00,9.841395727741713,1.2615064555348667,2615
52.0,4.7,2008-04-01 07:00:00,9.859370954712713,1.2547969102049825,2615
52.0,4.7,2008-04-01 08:00:00,10.359927442543942,1.24741285769349,2838
52.0,4.7,2008-04-01 09:00:00,11.567301944976492,1.2425032208564017,3050
52.0,4.7,2008-04-01 10:00:00,12.834614352438676,1.2400999987125945,3075
52.0,4.7,2008-04-01 11:00:00,13.566013002498577,1.2397906712815183,3075
52.0,4.7,2008-04-01 12:00:00,13.736979886316128,1.2375850007418103,3075
52.0,4.7,2008-04-01 13:00:00,13.27604175802803,1.2378741050650712,3075
52.0,4.7,2008-04-01 14:00:00,12.443555732780421,1.23645250749447,3073
52.0,4.7,2008-04-01 15:00:00,11.603304428663465,1.2346575059397473,3044
52.0,4.7,2008-04-01 16:00:00,10.561056249596058,1.2367658484583746,2807
52.0,4.7,2008-04-01 17:00:00,10.074400176959584,1.2413137316270562,2615
52.0,4.7,2008-04-01 18:00:00,10.152194487444069,1.2460933905817027,2615
52.0,4.7,2008-04-01 19:00:00,10.23680818627978,1.2489804199109265,2615
52.0,4.7,2008-04-01 20:00:00,10.399057780347231,1.2497326036732388,2838
52.0,4.7,2008-04-01 21:00:00,10.752233789344833,1.249167558589964,3000
52.0,4.7,2008-04-01 22:00:00,11.089666046128196,1.2499354847022872,3000
52.0,4.7,2008-04-01 23:00:00,11.166668034453616,1.2511040515327525,3000
52.0,4.7,2008-04-02 00:00:00,11.237230339816426,1.252368789617267,3000
52.0,4.7,2008-04-02 01:00:00,11.262328121268366,1.2531596542422527,3050
52.0,4.7,2008-04-02 02:00:00,11.176088363315632,1.2538686831291113,3000
52.0,4.7,2008-04-02 03:00:00,11.014625320159064,1.2550503194939528,3000
52.0,4.7,2008-04-02 04:00:00,10.7485814057146,1.2558799408462142,2838
52.0,4.7,2008-04-02 05:00:00,10.592098947691039,1.255751944914132,2838
52.0,4.7,2008-04-02 06:00:00,10.37824049975184,1.2538248870133695,2838
52.0,4.7,2008-04-02 07:00:00,10.15397615747265,1.2521951450503968,2615
52.0,4.7,2008-04-02 08:00:00,9.786486061633443,1.2511078522030563,2615
52.0,4.7,2008-04-02 09:00:00,9.630901079794402,1.2510017884106508,2317
52.0,4.7,2008-04-02 10:00:00,9.564578765535991,1.2500877540185544,2317
52.0,4.7,2008-04-02 11:00:00,9.8536967840633,1.2485878506261394,2615
52.0,4.7,2008-04-02 12:00:00,10.07575038160327,1.246536767813361,2615
52.0,4.7,2008-04-02 13:00:00,10.210426933652046,1.2460908810864886,2615
52.0,4.7,2008-04-02 14:00:00,10.13184781097233,1.2457442940233487,2615
52.0,4.7,2008-04-02 15:00:00,9.90077494345092,1.2477979461032753,2615
52.0,4.7,2008-04-02 16:00:00,9.186485284580877,1.2511302854202058,1995
52.0,4.7,2008-04-02 17:00:00,7.905382416612914,1.2565381552040573,1404
52.0,4.7,2008-04-02 18:00:00,7.417121110095313,1.2617467817419514,1150
52.0,4.7,2008-04-02 19:00:00,7.046618896464517,1.2648401332742447,946
52.0,4.7,2008-04-02 20:00:00,6.785068453590946,1.2665875213617326,946
52.0,4.7,2008-04-02 21:00:00,7.119919356725591,1.2676876922723699,946
52.0,4.7,2008-04-02 22:00:00,7.713283111797142,1.2690572365582418,1174
52.0,4.7,2008-04-02 23:00:00,8.258650577195978,1.2699728547814029,1722
52.0,4.7,2008-04-03 00:00:00,8.746709770094133,1.270771949838959,1722
52.0,4.7,2008-04-03 01:00:00,9.114504199285268,1.271214190528495,2035
52.0,4.7,2008-04-03 02:00:00,9.338023184970496,1.2714572638704862,2362
52.0,4.7,2008-04-03 03:00:00,9.297961853744242,1.269306382382502,2362
52.0,4.7,2008-04-03 04:00:00,9.09874487298542,1.2670442239642505,2035
52.0,4.7,2008-04-03 05:00:00,9.040352858162349,1.2659432158908184,2035
52.0,4.7,2008-04-03 06:00:00,9.284021482699528,1.264338634510022,2362
52.0,4.7,2008-04-03 07:00:00,8.648679990215118,1.263507847320086,1722
52.0,4.7,2008-04-03 08:00:00,8.666473812842625,1.2618309569397643,1687
52.0,4.7,2008-04-03 09:00:00,8.409656264667134,1.2607246617159644,1687
52.0,4.7,2008-04-03 10:00:00,8.078982161205053,1.2599680615275346,1404
52.0,4.7,2008-04-03 11:00:00,7.813479260132875,1.2595317448884384,1404
52.0,4.7,2008-04-03 12:00:00,7.574725037931123,1.2546864795046129,1150
52.0,4.7,2008-04-03 13:00:00,7.357882507536135,1.2525432721918803,1150
52.0,4.7,2008-04-03 14:00:00,7.26793617766497,1.2528427740085988,1150
52.0,4.7,2008-04-03 15:00:00,7.134627776295976,1.254639099277299,926
52.0,4.7,2008-04-03 16:00:00,6.8513874721536245,1.2580855308414252,926
52.0,4.7,2008-04-03 17:00:00,6.116935177012072,1.263009458777555,579
52.0,4.7,2008-04-03 18:00:00,5.717532018983844,1.268099075283537,435
52.0,4.7,2008-04-03 19:00:00,5.230003404379479,1.2722435604903581,316
52.0,4.7,2008-04-03 20:00:00,4.574111178877036,1.2752292442320472,218
52.0,4.7,2008-04-03 21:00:00,3.8458373929816854,1.2740736851192556,140
52.0,4.7,2008-04-03 22:00:00,3.001767270780785,1.273443338185356,29
